model,accuracy,precision,recall,f1,auc
TextCNN,0.8875,0.6066,0.8813,0.7186,0.9502
keyword_freq_ratio,0.8369,0.0000,0.0000,0.0000,0.5105
keyword_rule,0.7890,0.2058,0.1027,0.1371,0.5127
tfidf_logreg,0.7699,0.3957,0.7800,0.5251,0.8503
tfidf_svm,0.8253,0.4753,0.6831,0.5606,0.8755
